dateTime,TN,TP,NH3,NO23,OP,SSC
2016-07-25,2.16593,0.2084,0.01,1.61693,0.09171,110.0
2016-08-22,1.66473,0.2453,0.01329,1.09473,0.10925,137.0
2016-10-20,2.94,0.2453,0.01,1.99,0.14,114.0
2016-12-12,2.74,0.2453,0.04,2.08,0.08,109.0
2017-01-23,2.74,0.2453,0.02,1.85,0.08,314.0
2017-02-13,2.53,0.2453,0.02,1.85,0.08,177.0
2017-02-28,2.5,0.2453,0.01,1.91,0.07,89.0
2017-03-13,2.75,0.2453,0.01,1.98,0.08,216.0
2017-03-27,2.09929,0.0702,0.01525,1.82429,0.06453,144.0
2017-04-10,2.64,0.0702,0.01,1.68,0.06,185.0
2017-04-24,3.32,0.0702,0.01,2.43,0.07,224.0
2017-05-08,2.16,0.0702,0.01,1.53,0.06,194.0
2017-05-25,2.08,0.15,0.01,1.68,0.08,55.0
2017-06-08,2.34,0.18,0.01,1.87,0.09,85.0
2017-06-19,2.4,0.23,0.01,1.8,0.09,87.0
2017-07-10,2.42,0.24,0.01,1.81,0.09,139.0
2017-07-25,2.18,0.2,0.01,1.63,0.1,102.0
2017-08-14,1.79,0.23,0.01,1.25,0.1,119.0
2017-10-16,1.11,0.19,0.01,0.48,0.04,81.0
2017-12-14,2.17,0.19,0.01,1.65,0.09,73.0
2018-01-23,1.93005,0.2583,0.06929,1.21305,0.05624,73.0
2018-02-08,2.37899,0.3435,0.05297,1.58899,0.05984,73.0
2018-03-01,1.56664,0.3428,0.01815,0.88064,0.04862,73.0
2018-03-12,1.49204,0.1529,0.0206,0.99504,0.05276,73.0
2018-03-26,1.55243,0.1438,0.01534,1.11743,0.06085,73.0
2018-04-09,1.74284,0.232,0.01515,1.15484,0.07307,73.0
2018-04-23,1.72026,0.1762,0.01836,1.23426,0.05941,73.0
2018-05-07,1.77202,0.1541,0.01229,1.30602,0.06056,73.0
2018-05-21,2.1696,0.1975,0.01,1.6236,0.07565,73.0
2018-06-04,2.43212,0.2492,0.01,1.69612,0.08523,73.0
2018-06-21,2.04552,0.1864,0.01,1.39652,0.05992,73.0
2018-07-09,3.17705,0.3578,0.01,2.37305,0.11149,73.0
2018-07-23,3.14361,0.2861,0.01,2.51261,0.14047,73.0
2018-08-13,2.13212,0.2208,0.01,1.47312,0.09671,73.0
