"dateTime","code","value"
"1981-01-12","NO23",1.5
"1981-02-03","NO23",1.1
"1981-03-13","NO23",2
"1981-04-20","NO23",1.1
"1981-05-04","NO23",2.2
"1981-06-01","NO23",2.2
"1981-07-08","NO23",2.2
"1981-08-06","NO23",1.2
"1981-09-03","NO23",1.4
"1981-10-09","NO23",1
"1981-12-07","NO23",1.4
"1982-01-11","NO23",1.3
"1982-02-17","NO23",1.2
"1982-03-15","NO23",1.7
"1982-04-09","NO23",2.2
"1982-05-10","NO23",2.5
"1982-06-10","NO23",2.3
"1982-07-12","NO23",2.4
"1982-08-05","NO23",1.9
"1982-10-07","NO23",1.1
"1982-11-15","NO23",1.7
"1982-12-11","NO23",1.5
"1983-01-10","NO23",1.5
"1983-01-25","NO23",1.8
"1983-03-15","NO23",2.5
"1983-04-26","NO23",2.2
"1983-05-17","NO23",1.6
"1983-06-22","NO23",1.5
"1983-07-19","NO23",2.3
"1983-08-15","NO23",1.6
"1983-09-12","NO23",0.6
"1983-10-03","NO23",0.45
"1983-11-14","NO23",1.5
"1983-12-06","NO23",1.6
"1984-01-09","NO23",1.6
"1984-02-14","NO23",1.4
"1984-03-07","NO23",2.2
"1984-04-16","NO23",2.1
"1984-04-30","NO23",2
"1984-06-26","NO23",2.7
"1984-07-19","NO23",2.2
"1984-08-21","NO23",1.4
"1984-09-04","NO23",0.7
"1984-10-15","NO23",0.71
"1984-11-05","NO23",0.6
"1984-12-03","NO23",1.1
"1985-01-07","NO23",1.3
"1985-02-13","NO23",1.2
"1985-03-11","NO23",1.6
"1985-04-11","NO23",1.7
"1985-05-20","NO23",1.4
"1985-06-06","NO23",1.8
"1985-07-22","NO23",1
"1985-08-13","NO23",0.88
"1985-09-09","NO23",0.6
"1985-10-01","NO23",0.36
"1985-11-18","NO23",1.4
"1985-12-03","NO23",1.3
"1986-01-28","NO23",1.6
"1986-02-18","NO23",1.7
"1986-03-17","NO23",1.9
"1986-04-15","NO23",2.4
"1986-05-06","NO23",1.8
"1986-06-16","NO23",2.2
"1986-07-21","NO23",2.4
"1986-08-12","NO23",2.1
"1986-09-02","NO23",1.4
"1986-10-06","NO23",0.98
"1986-11-18","NO23",1.6
"1986-12-08","NO23",1.4
"1987-01-27","NO23",1.2
"1987-02-09","NO23",1
"1987-03-03","NO23",1.4
"1987-05-11","NO23",1.4
"1987-06-09","NO23",1.1
"1987-07-13","NO23",1.4
"1987-08-13","NO23",1.2
"1987-09-01","NO23",0.8
"1987-10-20","NO23",1
"1987-11-17","NO23",0.89
"1987-12-02","NO23",0.61
"1988-01-05","NO23",1
"1988-02-22","NO23",1.5
"1988-03-15","NO23",1.9
"1988-04-05","NO23",1.5
"1988-05-10","NO23",1.3
"1988-06-09","NO23",0.66
"1988-08-02","NO23",0.23
"1988-09-29","NO23",0.59
"1988-10-12","NO23",0.62
"1988-11-14","NO23",0.58
"1988-12-22","NO23",0.89
"1989-01-17","NO23",0.92
"1989-02-15","NO23",1.2
"1989-03-14","NO23",0.94
"1989-03-30","NO23",1.1
"1989-05-19","NO23",1.3
"1989-06-26","NO23",1.3
"1989-07-11","NO23",0.81
"1989-08-08","NO23",0.59
"1989-09-11","NO23",0.57
"1989-10-06","NO23",1.3
"1989-12-01","NO23",0.83
"1989-12-21","NO23",0.8
"1990-01-08","NO23",0.65
"1990-02-20","NO23",1.1
"1990-03-05","NO23",1.1
"1990-04-17","NO23",1.2
"1990-05-01","NO23",1.2
"1990-06-25","NO23",1.5
"1990-07-17","NO23",3.2
"1990-08-14","NO23",2.5
"1990-09-17","NO23",2.2
"1990-10-30","NO23",1.3
"1990-11-13","NO23",1.4
"1990-12-12","NO23",1.2
"1991-01-15","NO23",1
"1991-02-25","NO23",1.4
"1991-03-12","NO23",1.1
"1991-04-02","NO23",1.5
"1991-05-06","NO23",2.15
"1991-06-17","NO23",2.55
"1991-07-23","NO23",2.1
"1991-09-23","NO23",0.55
"1991-11-05","NO23",0.66
"1991-11-19","NO23",0.86
"1991-12-10","NO23",1.3
"1992-01-28","NO23",1.7
"1992-02-26","NO23",1.95
"1992-03-25","NO23",1.7
"1992-05-14","NO23",2.95
"1992-05-26","NO23",2.35
"1992-06-17","NO23",1.35
"1992-07-15","NO23",1.3
"1992-08-18","NO23",1.75
"1992-09-15","NO23",0.905
"1992-10-14","NO23",1.3
"1992-11-17","NO23",1.3
"1992-12-15","NO23",2.2
"1993-01-26","NO23",1.7
"1993-03-03","NO23",1.5
"1993-04-20","NO23",1.6
"1993-05-24","NO23",1.6
"1993-06-22","NO23",2.2
"1993-07-28","NO23",2.2
"1993-08-23","NO23",1.7
"1993-09-20","NO23",1.8
"1993-11-08","NO23",1.8
"1994-01-24","NO23",1.1
"1994-03-14","NO23",1.3
"1994-06-28","NO23",0.95
"1994-08-30","NO23",0.73
"1994-10-20","NO23",0.79
"1995-01-23","NO23",1
"1995-02-21","NO23",1.2
"1995-04-24","NO23",1.7
"1995-06-14","NO23",1.4
"1995-08-07","NO23",1.5
"1995-10-12","NO23",0.5
"1995-10-17","NO23",0.73
"1995-12-06","NO23",1.3
"1996-02-07","NO23",1.6
"1996-03-27","NO23",1.2
"1996-04-16","NO23",1.4
"1996-05-01","NO23",1.4
"1996-05-17","NO23",1.2
"1996-05-31","NO23",1.1
"1996-06-11","NO23",1.5
"1996-06-21","NO23",2.1
"1996-06-25","NO23",2.2
"1996-07-23","NO23",2.4
"1996-09-03","NO23",0.995
"1996-09-17","NO23",0.865
"1996-11-25","NO23",0.73
"1997-01-15","NO23",1.276
"1997-02-03","NO23",1.37
"1997-02-20","NO23",1.156
"1997-03-14","NO23",1.05
"1997-03-26","NO23",1.248
"1997-04-08","NO23",1.322
"1997-04-24","NO23",1.374
"1997-05-06","NO23",1.426
"1997-06-09","NO23",1.281
"1997-06-19","NO23",2.008
"1997-07-09","NO23",1.266
"1997-08-04","NO23",1.219
"1997-08-26","NO23",0.792
"1997-09-23","NO23",0.664
"1997-11-17","NO23",0.896
"1997-12-16","NO23",1.049
"1998-01-28","NO23",1.217
"1998-02-27","NO23",1.224
"1998-03-18","NO23",1.626
"1998-03-28","NO23",1.595
"1998-04-30","NO23",1.956
"1998-05-13","NO23",1.851
"1998-05-28","NO23",1.64
"1998-06-09","NO23",2.034
"1998-06-25","NO23",2.087
"1998-07-09","NO23",2.633
"1998-07-30","NO23",1.9045
"1998-08-19","NO23",0.585
"1998-09-28","NO23",0.921
"1998-11-18","NO23",1.329
"1998-12-08","NO23",1.536
"1999-01-12","NO23",1.048
"1999-02-10","NO23",1.575
"1999-03-15","NO23",1.607
"1999-03-30","NO23",1.4395
"1999-04-19","NO23",1.077
"1999-04-28","NO23",2.015
"1999-05-06","NO23",2.802
"1999-05-26","NO23",2.182
"1999-06-10","NO23",2.8825
"1999-06-24","NO23",2.644
"1999-07-21","NO23",1.977
"1999-08-05","NO23",1.773
"1999-09-14","NO23",0.946
"1999-11-11","NO23",0.723
"1999-12-01","NO23",0.743
"2000-01-27","NO23",1.054
"2000-02-17","NO23",1.119
"2000-03-14","NO23",1.427
"2000-03-29","NO23",1.456
"2000-04-12","NO23",1.0535
"2000-05-10","NO23",1.183
"2000-05-23","NO23",1.148
"2000-06-06","NO23",1.12
"2000-07-18","NO23",2.789
"2000-08-25","NO23",0.976
"2000-09-21","NO23",0.6395
"2000-11-28","NO23",1.041
"2000-12-14","NO23",1.154
"2001-01-24","NO23",1.239
"2001-02-27","NO23",1.697
"2001-03-14","NO23",1.581
"2001-04-02","NO23",0.974
"2001-04-16","NO23",2.464
"2001-04-23","NO23",2.418
"2001-05-07","NO23",2.751
"2001-05-21","NO23",2.969
"2001-06-25","NO23",2.718
"2001-07-10","NO23",2.735
"2001-07-18","NO23",2.395
"2001-08-27","NO23",0.895
"2001-09-19","NO23",0.507
"2001-10-30","NO23",0.856
"2001-12-18","NO23",0.87
"2002-01-22","NO23",1.224
"2002-02-04","NO23",1.1455
"2002-02-18","NO23",1.254
"2002-03-13","NO23",1.897
"2002-03-25","NO23",1.47
"2002-04-10","NO23",1.039
"2002-04-22","NO23",1.323
"2002-05-07","NO23",1.5075
"2002-05-28","NO23",1.254
"2002-08-05","NO23",1.168
"2002-08-19","NO23",0.675
"2002-09-09","NO23",0.943
"2002-11-12","NO23",1.055
"2003-01-14","NO23",1.168
"2003-01-28","NO23",1.164
"2003-02-12","NO23",1.107
"2003-02-24","NO23",0.847
"2003-03-10","NO23",0.898
"2003-03-24","NO23",1.059
"2003-04-15","NO23",1.292
"2003-04-29","NO23",1.038
"2003-05-12","NO23",1.146
"2003-05-27","NO23",1.351
"2003-06-16","NO23",1.435
"2003-07-14","NO23",1.303
"2003-08-12","NO23",1.637
"2003-09-23","NO23",0.774
"2003-10-27","NO23",0.675
"2003-12-09","NO23",1.13
"2004-01-13","NO23",1.4475
"2004-01-29","NO23",1.347
"2004-02-17","NO23",0.918
"2004-03-02","NO23",0.961
"2004-03-16","NO23",1.6635
"2004-03-30","NO23",1.542
"2004-05-06","NO23",1.027
"2004-05-18","NO23",1.094
"2004-06-08","NO23",2.402
"2004-06-22","NO23",2.475
"2004-07-20","NO23",1.802
"2004-08-17","NO23",1.197
"2004-09-14","NO23",0.871
"2004-10-26","NO23",1.074
"2004-11-16","NO23",1.08
"2004-12-21","NO23",1.145
"2005-02-02","NO23",1.309
"2005-03-22","NO23",1.578
"2005-04-13","NO23",1.27
"2005-04-27","NO23",1.175
"2005-05-10","NO23",1.623
"2005-05-24","NO23",1.6715
"2005-06-14","NO23",2.568
"2005-06-28","NO23",1.905
"2005-07-12","NO23",1.927
"2005-08-10","NO23",0.783
"2005-09-07","NO23",0.611
"2005-10-11","NO23",0.54
"2005-11-16","NO23",1.16
"2006-01-10","NO23",1.38
"2006-02-14","NO23",1.39
"2006-03-15","NO23",1.5
"2006-04-05","NO23",1.64
"2006-04-18","NO23",2.09
"2006-05-09","NO23",2.555
"2006-05-31","NO23",3.15
"2006-06-14","NO23",2.53
"2006-06-26","NO23",2.13
"2006-07-17","NO23",1.97
"2006-08-21","NO23",0.61
"2006-09-19","NO23",0.82
"2006-10-18","NO23",0.81
"2006-11-13","NO23",1
"2007-01-23","NO23",1.48
"2007-02-26","NO23",1.53
"2007-03-19","NO23",1.48
"2007-04-02","NO23",2.295
"2007-04-16","NO23",2.43
"2007-04-30","NO23",2.35
"2007-05-14","NO23",2.87
"2007-06-11","NO23",2.17
"2007-06-27","NO23",2.24
"2007-07-25","NO23",1.14
"2007-08-13","NO23",0.58
"2007-08-29","NO23",0.58
"2007-11-07","NO23",1.93
"2007-12-11","NO23",1.8
"2008-02-11","NO23",2.19
"2008-03-10","NO23",1.44
"2008-04-07","NO23",1.21
"2008-04-21","NO23",1.12
"2008-05-05","NO23",1.5
"2008-05-27","NO23",1.61
"2008-06-09","NO23",1.63
"2008-06-23","NO23",2.28
"2008-07-08","NO23",2.6
"2008-08-18","NO23",1.15
"2008-10-20","NO23",0.9407
"2008-11-17","NO23",1.191
"2009-01-19","NO23",1.742
"2009-02-03","NO23",1.513
"2009-03-02","NO23",1.703
"2009-04-06","NO23",1.833
"2009-04-23","NO23",1.531
"2009-05-04","NO23",1.458
"2009-05-20","NO23",1.214
"2009-06-01","NO23",1.138
"2009-06-18","NO23",1.528
"2009-08-13","NO23",1.199
"2009-10-08","NO23",0.663
"2009-12-02","NO23",1.228
"2010-01-12","NO23",1.161
"2010-02-16","NO23",1.212
"2010-02-23","NO23",1.102
"2010-03-11","NO23",1.065
"2010-03-22","NO23",1.79
"2010-04-07","NO23",1.93
"2010-04-21","NO23",1.862
"2010-05-05","NO23",2.136
"2010-05-19","NO23",1.195
"2010-06-02","NO23",1.691
"2010-06-16","NO23",1.99
"2010-08-11","NO23",1.575
"2010-10-27","NO23",1.47
"2010-12-08","NO23",1.379
"2011-01-10","NO23",1.503
"2011-02-09","NO23",1.748
"2011-02-22","NO23",1.549
"2011-03-08","NO23",2.265
"2011-03-21","NO23",1.839
"2011-04-06","NO23",1.641
"2011-04-20","NO23",1.742
"2011-05-09","NO23",1.107
"2011-05-16","NO23",1.201
"2011-05-23","NO23",1.226
"2011-05-30","NO23",1.142
"2011-06-06","NO23",1.147
"2011-06-13","NO23",1.468
"2011-06-20","NO23",1.997
"2011-06-27","NO23",1.903
"2011-07-11","NO23",1.907
"2011-07-25","NO23",1.604
"2011-08-22","NO23",1.107
"2011-10-24","NO23",0.70853
"2011-12-06","NO23",0.89174
"2012-01-17","NO23",1.00874
"2012-02-06","NO23",1.10481
"2012-02-22","NO23",1.12035
"2012-03-05","NO23",1.17317
"2012-03-19","NO23",0.98869
"2012-04-02","NO23",1.06633
"2012-04-16","NO23",1.00504
"2012-04-30","NO23",0.97947
"2012-05-14","NO23",1.42726
"2012-06-11","NO23",1.53692
"2012-06-25","NO23",1.81036
"2012-08-06","NO23",0.61995
"2012-10-22","NO23",0.42104
"2012-12-03","NO23",0.76285
"2013-01-15","NO23",0.84146
"2013-02-05","NO23",0.96033
"2013-02-18","NO23",1.14554
"2013-03-04","NO23",1.16662
"2013-03-18","NO23",1.52303
"2013-04-08","NO23",1.41261
"2013-04-22","NO23",1.42735
"2013-05-06","NO23",2.00294
"2013-05-20","NO23",1.89344
"2013-06-03","NO23",1.88754
"2013-06-17","NO23",2.58624
"2013-07-15","NO23",2.68544
"2013-07-30","NO23",1.72387
"2013-08-19","NO23",1.03718
"2013-11-12","NO23",0.62144
"2013-12-03","NO23",0.90291
"2014-01-16","NO23",0.94331
"2014-02-03","NO23",1.12164
"2014-02-18","NO23",1.11812
"2014-03-05","NO23",1.40795
"2014-03-17","NO23",1.15783
"2014-04-07","NO23",1.37731
"2014-04-21","NO23",1.20496
"2014-05-05","NO23",1.50555
"2014-05-19","NO23",1.17205
"2014-06-04","NO23",1.93722
"2014-06-16","NO23",1.41525
"2014-07-07","NO23",1.97948
"2014-07-28","NO23",2.72949
"2014-08-18","NO23",1.38349
"2014-10-20","NO23",1.0327
"2014-12-08","NO23",1.1728
"2015-01-12","NO23",1.15826
"2015-02-24","NO23",1.49979
"2015-03-09","NO23",1.07646
"2015-03-23","NO23",1.01175
"2015-04-06","NO23",1.03479
"2015-04-20","NO23",0.92927
"2015-05-07","NO23",0.92747
"2015-05-18","NO23",1.18847
"2015-06-01","NO23",1.69607
"2015-06-15","NO23",1.45453
"2015-06-29","NO23",1.99566
"2015-07-13","NO23",1.67487
"2015-08-10","NO23",1.20382
"2015-10-05","NO23",1.56266
"2015-12-07","NO23",1.30911
"2016-01-11","NO23",1.30496
"2016-02-03","NO23",1.83408
"2016-02-25","NO23",1.3292
"2016-03-07","NO23",1.55289
"2016-03-21","NO23",1.41705
"2016-04-04","NO23",1.76317
"2016-04-18","NO23",1.79639
"2016-05-02","NO23",1.85981
"2016-05-23","NO23",2.34604
"2016-06-06","NO23",2.37264
"2016-06-20","NO23",1.97574
"2016-07-11","NO23",2.42654
"2016-07-25","NO23",1.61693
"2016-08-22","NO23",1.09473
"2016-10-20","NO23",1.99
"2016-12-12","NO23",2.08
"2017-01-23","NO23",1.85
"2017-02-13","NO23",1.85
"2017-02-28","NO23",1.91
"2017-03-13","NO23",1.98
"2017-03-27","NO23",1.82429
"2017-04-10","NO23",1.68
"2017-04-24","NO23",2.43
"2017-05-08","NO23",1.53
"2017-05-25","NO23",1.68
"2017-06-08","NO23",1.87
"2017-06-19","NO23",1.8
"2017-07-10","NO23",1.81
"2017-07-25","NO23",1.63
"2017-08-14","NO23",1.25
"2017-10-16","NO23",0.48
"2017-12-14","NO23",1.65
"2018-01-23","NO23",1.21305
"2018-02-08","NO23",1.58899
"2018-03-01","NO23",0.88064
"2018-03-12","NO23",0.99504
"2018-03-26","NO23",1.11743
"2018-04-09","NO23",1.15484
"2018-04-23","NO23",1.23426
"2018-05-07","NO23",1.30602
"2018-05-21","NO23",1.6236
"2018-06-04","NO23",1.69612
"2018-06-21","NO23",1.39652
"2018-07-09","NO23",2.37305
"2018-07-23","NO23",2.51261
"2018-08-13","NO23",1.47312
