"dateTime","code","value"
"1998-05-13","NH3",0.032
"1998-05-28","NH3",0.02
"1998-06-09","NH3",0.043
"1998-06-25","NH3",0.029
"1998-07-09","NH3",0.039
"1998-07-30","NH3",0.029
"1998-08-19","NH3",0.067
"1998-09-28","NH3",0.02
"1998-11-18","NH3",0.02
"1998-12-08","NH3",0.04
"1999-01-12","NH3",0.08
"1999-02-10","NH3",0.025
"1999-03-15","NH3",0.029
"1999-03-30","NH3",0.0305
"1999-04-19","NH3",0.02
"1999-04-28","NH3",0.025
"1999-05-06","NH3",0.037
"1999-05-26","NH3",0.02
"1999-06-10","NH3",0.02
"1999-06-24","NH3",0.028
"1999-07-21","NH3",0.02
"1999-08-05","NH3",0.02
"1999-09-14","NH3",0.02
"1999-11-11","NH3",0.02
"1999-12-01","NH3",0.0365
"2000-01-27","NH3",0.058
"2000-02-17","NH3",0.083
"2000-03-14","NH3",0.02
"2000-03-29","NH3",0.02
"2000-04-12","NH3",0.023
"2000-05-10","NH3",0.02
"2000-05-23","NH3",0.02
"2000-06-06","NH3",0.02
"2000-06-23","NH3",0.02
"2000-07-18","NH3",0.02
"2000-08-25","NH3",0.02
"2000-09-21","NH3",0.02
"2000-11-28","NH3",0.029
"2000-12-14","NH3",0.021
"2001-01-24","NH3",0.147
"2001-02-27","NH3",0.069
"2001-03-14","NH3",0.0325
"2001-04-02","NH3",0.021
"2001-04-16","NH3",0.021
"2001-04-23","NH3",0.021
"2001-05-07","NH3",0.021
"2001-05-21","NH3",0.021
"2001-06-25","NH3",0.1875
"2001-07-10","NH3",0.021
"2001-07-18","NH3",0.021
"2001-08-27","NH3",0.021
"2001-09-19","NH3",0.021
"2001-10-30","NH3",0.021
"2001-12-18","NH3",0.021
"2002-01-22","NH3",0.053
"2002-02-04","NH3",0.0295
"2002-02-18","NH3",0.033
"2002-03-13","NH3",0.028
"2002-03-25","NH3",0.023
"2002-04-10","NH3",0.021
"2002-04-22","NH3",0.021
"2002-05-07","NH3",0.021
"2002-05-28","NH3",0.021
"2002-08-05","NH3",0.021
"2002-08-19","NH3",0.021
"2002-09-09","NH3",0.021
"2002-11-12","NH3",0.021
"2003-01-14","NH3",0.021
"2003-01-28","NH3",0.0275
