dateTime,code,OP
1998-07-30,OP,0.115
1998-08-19,OP,0.095
1998-09-28,OP,0.079
1998-11-18,OP,0.097
1998-12-08,OP,0.114
1999-01-12,OP,0.054
1999-02-10,OP,0.053
1999-03-15,OP,0.055
1999-03-30,OP,0.0465
1999-04-19,OP,0.048
1999-04-28,OP,0.074
1999-05-06,OP,0.07
1999-05-26,OP,0.073
1999-06-10,OP,0.094
1999-06-24,OP,0.107
1999-07-21,OP,0.101
1999-08-05,OP,0.103
1999-09-14,OP,0.092
1999-11-11,OP,0.067
1999-12-01,OP,0.05
2000-01-27,OP,0.051
2000-02-17,OP,0.038
2000-03-14,OP,0.053
2000-03-29,OP,0.063
2000-04-12,OP,0.047
2000-05-10,OP,0.064
2000-05-23,OP,0.07
2000-06-06,OP,0.054
2000-06-23,OP,0.104
2000-07-18,OP,0.107
2000-08-25,OP,0.083
2000-09-21,OP,0.0735
2000-11-28,OP,0.089
2000-12-14,OP,0.071
2001-01-24,OP,0.032
2001-02-27,OP,0.045
2001-03-14,OP,0.0525
2001-04-02,OP,0.028
2001-04-16,OP,0.075
2001-04-23,OP,0.092
2001-05-07,OP,0.08
2001-05-21,OP,0.095
2001-06-25,OP,0.0865
2001-07-10,OP,0.11
2001-07-18,OP,0.106
2001-08-27,OP,0.078
2001-09-19,OP,0.087
2001-10-30,OP,0.091
2001-12-18,OP,0.081
2002-01-22,OP,0.05
2002-02-04,OP,0.0505
2002-02-18,OP,0.052
2002-03-13,OP,0.045
2002-03-25,OP,0.047
2002-04-10,OP,0.037
2002-04-22,OP,0.045
2002-05-07,OP,0.0565
2002-05-28,OP,0.054
2002-08-05,OP,0.07
2002-08-19,OP,0.067
2002-09-09,OP,0.095
2002-11-12,OP,0.076
2003-01-14,OP,0.046
2003-01-28,OP,0.0455
2003-02-12,OP,0.026
2003-02-24,OP,0.03
2003-03-10,OP,0.027
2003-03-24,OP,0.031
2003-04-15,OP,0.04
2003-04-29,OP,0.043
